year	CTY_CODE	CTYNAME	BJAN	BFEB	BMAR	BAPR	BMAY	BJUN	BJUL	BAUG	BSEP	BOCT	BNOV	BDEC	BQ1	BQ2	BQ3	BQ4	IJAN	IFEB	IMAR	IAPR	IMAY	IJUN	IJUL	IAUG	ISEP	IOCT	INOV	IDEC	IQ1	IQ2	IQ3	IQ4	EJAN	EFEB	EMAR	EAPR	EMAY	EJUN	EJUL	EAUG	ESEP	EOCT	ENOV	EDEC	EQ1	EQ2	EQ3	EQ4
2009	3510	Brazil	511	447	345	518	419	464	440	482	557	754	320	770	1,303	1,400	1,479	1,844	1,799	1,663	1,611	1,421	1,605	1,612	1,682	1,613	1,690	1,611	1,984	1,778	5,073	4,638	4,986	5,372	2,310	2,110	1,956	1,939	2,024	2,076	2,123	2,095	2,247	2,364	2,304	2,548	6,376	6,039	6,464	7,216
2009	1220	Canada	-1,791	-1,893	-1,384	-1,092	-816	-1,854	-2,323	-1,516	-1,787	-2,647	-2,023	-2,465	-5,068	-3,762	-5,625	-7,135	17,863	18,477	16,899	16,677	16,368	17,452	19,832	19,451	19,788	20,607	21,059	21,774	53,240	50,497	59,071	63,440	16,073	16,584	15,515	15,585	15,552	15,598	17,510	17,935	18,002	17,960	19,036	19,309	48,171	46,735	53,446	56,305
2009	5700	China	-20,362	-19,006	-20,373	-18,426	-18,407	-17,570	-18,261	-18,077	-18,413	-19,272	-18,985	-19,726	-59,740	-54,404	-54,751	-57,983	24,892	23,906	25,560	23,916	23,831	23,379	23,726	23,774	24,629	25,585	25,958	27,218	74,358	71,125	72,130	78,761	4,530	4,900	5,188	5,490	5,424	5,808	5,465	5,698	6,216	6,313	6,972	7,493	14,618	16,722	17,379	20,778
2009	4279	France	-717	-304	-834	-387	-882	-381	-863	-760	-731	-540	-754	-589	-1,855	-1,650	-2,355	-1,883	3,021	2,863	2,915	2,679	2,750	2,874	2,919	2,717	2,860	2,773	2,980	2,886	8,799	8,303	8,495	8,639	2,304	2,559	2,081	2,292	1,868	2,493	2,056	1,956	2,128	2,233	2,226	2,297	6,944	6,653	6,140	6,755
2009	4280	Germany	-2,283	-2,356	-1,888	-1,977	-1,599	-2,366	-2,731	-2,269	-2,428	-2,713	-3,179	-2,402	-6,527	-5,941	-7,429	-8,294	6,089	6,246	5,402	5,284	5,165	5,527	6,170	5,726	6,019	6,481	6,862	6,527	17,737	15,977	17,914	19,870	3,806	3,890	3,515	3,308	3,566	3,161	3,439	3,456	3,590	3,768	3,682	4,125	11,210	10,036	10,486	11,575
2009	5330	India	-527	-537	-463	-338	-244	-252	-257	-22	-417	-430	-613	-624	-1,527	-834	-696	-1,667	1,841	1,802	1,694	1,699	1,557	1,595	1,728	1,571	1,952	1,802	1,896	2,029	5,337	4,850	5,252	5,727	1,314	1,265	1,231	1,361	1,312	1,344	1,471	1,550	1,535	1,372	1,283	1,404	3,810	4,017	4,556	4,059
2009	4759	Italy	-1,444	-1,317	-1,124	-1,016	-1,028	-1,067	-1,093	-1,257	-1,180	-1,129	-1,269	-1,237	-3,885	-3,111	-3,530	-3,635	2,418	2,291	2,126	1,995	1,980	2,097	2,080	2,297	2,289	2,189	2,344	2,322	6,835	6,073	6,666	6,855	974	974	1,002	980	952	1,030	988	1,040	1,109	1,060	1,075	1,085	2,950	2,962	3,136	3,220
2009	5880	Japan	-4,899	-2,336	-2,466	-2,691	-2,734	-3,747	-3,884	-4,172	-4,295	-4,282	-4,783	-4,379	-9,701	-9,173	-12,351	-13,444	9,003	6,688	6,725	6,752	6,803	7,764	8,027	8,242	8,740	8,662	9,217	9,179	22,417	21,318	25,010	27,059	4,104	4,352	4,259	4,061	4,068	4,016	4,143	4,070	4,445	4,380	4,434	4,800	12,715	12,145	12,659	13,615
2009	5800	Korea, South	-1,923	-1,179	-1,337	-1,025	-655	-777	-753	-552	-612	-485	-523	-783	-4,438	-2,457	-1,917	-1,791	3,730	3,253	3,171	3,050	3,129	3,072	3,125	3,194	3,323	3,327	3,319	3,522	10,155	9,251	9,642	10,168	1,807	2,074	1,835	2,024	2,474	2,295	2,372	2,642	2,711	2,842	2,797	2,739	5,716	6,794	7,725	8,377
2009	2010	Mexico	-3,300	-3,378	-3,511	-4,109	-3,663	-3,058	-3,277	-3,819	-4,297	-4,571	-4,905	-5,875	-10,189	-10,829	-11,393	-15,351	13,494	13,462	13,158	13,791	13,257	13,406	14,287	14,837	15,768	16,266	16,914	18,016	40,114	40,454	44,891	51,195	10,194	10,084	9,647	9,682	9,594	10,348	11,010	11,018	11,470	11,695	12,009	12,141	29,925	29,624	33,498	35,845
2009	5170	Saudi Arabia	-1,281	-335	-596	-591	-946	-844	-904	-947	-1,149	-1,154	-1,378	-1,135	-2,212	-2,381	-3,001	-3,667	2,213	1,434	1,460	1,571	1,722	1,652	1,839	1,789	2,092	2,034	2,222	2,024	5,107	4,945	5,720	6,281	932	1,098	864	980	776	809	934	842	943	880	845	890	2,895	2,564	2,719	2,614
2009	4120	United Kingdom	362	-839	150	-220	-255	349	46	-604	-321	-270	-348	175	-328	-126	-879	-444	3,533	4,490	3,558	3,830	3,534	3,602	3,870	4,401	4,181	4,309	4,412	3,759	11,582	10,966	12,452	12,480	3,895	3,651	3,708	3,610	3,279	3,951	3,916	3,797	3,859	4,039	4,063	3,934	11,254	10,840	11,573	12,036
2009	0020	All other countries	-7,688	-6,061	-6,221	-7,485	-5,538	-6,202	-8,129	-7,402	-9,201	-7,958	-8,573	-9,787	-19,971	-19,224	-24,732	-26,319	38,615	38,289	37,858	37,280	36,975	38,197	40,153	39,690	42,406	42,968	44,237	45,727	114,762	112,452	122,249	132,933	30,927	32,228	31,637	29,795	31,437	31,996	32,024	32,287	33,205	35,010	35,664	35,940	94,792	93,228	97,517	106,614
2009	0017	CAFTA-DR	303	282	218	61	133	192	-46	-6	-3	-47	-14	29	803	386	-55	-31	1,291	1,374	1,367	1,353	1,412	1,509	1,673	1,675	1,686	1,792	1,883	1,826	4,033	4,274	5,035	5,501	1,595	1,656	1,585	1,414	1,544	1,701	1,627	1,669	1,683	1,745	1,869	1,856	4,836	4,659	4,979	5,470
2009	0003	European Union	-5,701	-4,126	-4,343	-4,704	-3,685	-3,634	-5,507	-5,857	-6,478	-5,049	-6,182	-5,936	-14,170	-12,023	-17,842	-17,167	23,909	23,720	22,480	22,410	21,236	21,737	23,531	23,370	24,597	24,703	25,302	24,806	70,109	65,383	71,498	74,810	18,208	19,594	18,137	17,706	17,551	18,103	18,023	17,513	18,119	19,654	19,120	18,870	55,940	53,360	53,656	57,644
